isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST SOUTH 178 0
true false SOUTH NORTH 178 0
true false NORTH EAST 178 0
true false EAST SOUTH 177 10
true false SOUTH WEST 177 10
true false WEST EAST 177 10
true false EAST SOUTH 177 10
true false SOUTH EAST 177 10
true false EAST SOUTH 176 20
true false SOUTH WEST 176 20
true false WEST SOUTH 176 20
true false SOUTH SOUTH 176 20
true false SOUTH WEST 176 20
true false WEST NORTH 176 20
true false NORTH WEST 176 20
true false WEST WEST 175 30
true false WEST SOUTH 174 40
true false SOUTH SOUTH 174 40
true false SOUTH SOUTH 174 40
true false SOUTH EAST 174 40
true false EAST WEST 174 40
true false WEST EAST 174 40
true false EAST SOUTH 174 40
true false SOUTH NORTH 174 40
true false NORTH NORTH 173 50
true false NORTH WEST 172 60
true false WEST WEST 171 70
true false WEST NORTH 170 80
true false NORTH EAST 170 80
true false EAST SOUTH 170 80
true false SOUTH EAST 170 80
true false EAST EAST 170 80
true false EAST EAST 170 80
true false EAST EAST 170 80
true false EAST NORTH 170 80
true false NORTH NORTH 170 80
true false NORTH EAST 170 80
true false EAST EAST 170 80
true false EAST EAST 170 80
true false EAST EAST 170 80
true false EAST SOUTH 170 80
true false SOUTH WEST 170 80
true false WEST NORTH 170 80
true false NORTH EAST 170 80
true false EAST WEST 170 80
true false WEST WEST 170 80
true false WEST NORTH 170 80
true false NORTH EAST 170 80
true false EAST EAST 170 80
true false EAST NORTH 170 80
true false NORTH SOUTH 170 80
true false SOUTH EAST 170 80
true false EAST EAST 170 80
true false EAST EAST 170 80
true false EAST EAST 170 80
true false EAST EAST 170 80
true false EAST WEST 170 80
true false WEST NORTH 170 80
true false NORTH WEST 170 80
true false WEST SOUTH 170 80
true false SOUTH SOUTH 170 80
true false SOUTH NORTH 169 90
true false NORTH EAST 169 90
true false EAST NORTH 169 90
true false NORTH EAST 169 90
true false EAST WEST 169 90
true false WEST WEST 169 90
true false WEST WEST 169 90
true false WEST WEST 169 90
true false WEST NORTH 169 90
true false NORTH SOUTH 169 90
true false SOUTH EAST 169 90
true false EAST WEST 169 90
true false WEST WEST 169 90
true false WEST EAST 169 90
true false EAST NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH EAST 169 90
true false EAST NORTH 169 90
true false NORTH SOUTH 169 90
true false SOUTH NORTH 169 90
true false NORTH SOUTH 169 90
true false SOUTH SOUTH 169 90
true false SOUTH NORTH 169 90
true false NORTH EAST 169 90
true false EAST NORTH 169 90
true false NORTH SOUTH 169 90
true false SOUTH EAST 169 90
true false EAST SOUTH 169 90
true false SOUTH WEST 169 90
true false WEST SOUTH 169 90
true false SOUTH SOUTH 169 90
true false SOUTH SOUTH 169 90
true false SOUTH WEST 169 90
true false WEST SOUTH 169 90
true false SOUTH SOUTH 169 90
true false SOUTH WEST 169 90
true false WEST NORTH 169 90
true false NORTH SOUTH 169 90
true false SOUTH EAST 169 90
true false EAST SOUTH 169 90
true false SOUTH EAST 169 90
true false EAST NORTH 169 90
true false NORTH EAST 169 90
true false EAST NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH WEST 169 90
true false WEST SOUTH 169 90
true false SOUTH WEST 169 90
true false WEST NORTH 169 90
true false NORTH WEST 169 90
true false WEST WEST 169 90
true false WEST SOUTH 169 90
true false SOUTH EAST 169 90
true false EAST NORTH 169 90
true false NORTH EAST 169 90
true false EAST WEST 169 90
true false WEST EAST 169 90
true false EAST WEST 169 90
true false WEST NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH EAST 169 90
true false EAST WEST 169 90
true false WEST WEST 169 90
true false WEST EAST 169 90
true false EAST SOUTH 169 90
true false SOUTH SOUTH 169 90
true false SOUTH NORTH 169 90
true false NORTH EAST 169 90
true false EAST NORTH 169 90
true false NORTH EAST 169 90
true false EAST NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH SOUTH 169 90
true false SOUTH SOUTH 169 90
true false SOUTH WEST 169 90
true false WEST SOUTH 169 90
true false SOUTH EAST 169 90
true false EAST SOUTH 169 90
true false SOUTH WEST 169 90
true false WEST EAST 169 90
true false EAST WEST 169 90
true false WEST SOUTH 169 90
true false SOUTH EAST 169 90
true false EAST EAST 169 90
true false EAST EAST 169 90
true false EAST NORTH 169 90
true false NORTH EAST 169 90
true false EAST EAST 169 90
true false EAST NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH WEST 169 90
true false WEST WEST 169 90
true false WEST NORTH 169 90
true false NORTH WEST 169 90
true false WEST NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH EAST 169 90
true false EAST WEST 169 90
true false WEST WEST 169 90
true false WEST EAST 168 100
true false EAST SOUTH 168 100
true false SOUTH NORTH 168 100
true false NORTH NORTH 168 100
true false NORTH EAST 168 100
true false EAST WEST 168 100
true false WEST NORTH 168 100
true false NORTH WEST 168 100
true false WEST NORTH 168 100
true false NORTH NORTH 167 110
true false NORTH SOUTH 166 120
true false SOUTH WEST 166 120
true false WEST SOUTH 166 120
true false SOUTH SOUTH 166 120
true false SOUTH EAST 165 130
true false EAST EAST 165 130
true false EAST WEST 165 130
true false WEST EAST 165 130
true false EAST WEST 165 130
true false WEST NORTH 165 130
true false NORTH NORTH 165 130
true false NORTH WEST 165 130
true false WEST SOUTH 165 130
true false SOUTH EAST 165 130
true false EAST WEST 165 130
true false WEST SOUTH 165 130
true false SOUTH SOUTH 165 130
true false SOUTH SOUTH 164 140
true false SOUTH EAST 163 150
true false EAST WEST 163 150
true false WEST SOUTH 163 150
true false SOUTH WEST 162 160
true false WEST EAST 161 170
true false EAST NORTH 161 170
true false NORTH SOUTH 161 170
true false SOUTH WEST 161 170
true false WEST EAST 161 170
true false EAST WEST 161 170
true false WEST WEST 161 170
true false WEST WEST 160 180
true false WEST SOUTH 159 190
true false SOUTH EAST 159 190
true false EAST EAST 159 190
true false EAST NORTH 159 190
true false NORTH WEST 159 190
true false WEST NORTH 159 190
true false NORTH WEST 159 190
true false WEST NORTH 159 190
true false NORTH SOUTH 159 190
true false SOUTH NORTH 159 190
true false NORTH NORTH 159 190
true false NORTH SOUTH 159 190
true false SOUTH SOUTH 159 190
true false SOUTH WEST 159 190
true false WEST NORTH 158 200
true false NORTH NORTH 158 200
true false NORTH WEST 158 200
true false WEST NORTH 158 200
true false NORTH WEST 158 200
true false WEST EAST 158 200
true false EAST EAST 158 200
true false EAST WEST 158 200
true false WEST NORTH 158 200
true false NORTH EAST 158 200
true false EAST EAST 158 200
true false EAST NORTH 158 200
true false NORTH SOUTH 158 200
true false SOUTH NORTH 158 200
true false NORTH WEST 158 200
true false WEST WEST 158 200
true false WEST SOUTH 158 200
true false SOUTH EAST 158 200
true false EAST EAST 158 200
true false EAST NORTH 158 200
true false NORTH EAST 158 200
true false EAST NORTH 158 200
true false NORTH WEST 158 200
true false WEST NORTH 158 200
true false NORTH EAST 158 200
true false EAST SOUTH 158 200
true false SOUTH EAST 158 200
true false EAST WEST 158 200
true false WEST WEST 158 200
true false WEST NORTH 158 200
true false NORTH WEST 158 200
true false WEST NORTH 158 200
true false NORTH WEST 158 200
true false WEST SOUTH 158 200
true false SOUTH WEST 158 200
true false WEST SOUTH 158 200
true false SOUTH NORTH 158 200
true false NORTH NORTH 158 200
true false NORTH WEST 158 200
true false WEST EAST 158 200
true false EAST SOUTH 158 200
true false SOUTH SOUTH 158 200
true false SOUTH NORTH 158 200
true false NORTH WEST 158 200
true false WEST WEST 158 200
true false WEST SOUTH 158 200
true false SOUTH WEST 158 200
true false WEST NORTH 158 200
true false NORTH WEST 158 200
true false WEST WEST 158 200
true false WEST WEST 158 200
true false WEST WEST 158 200
true false WEST WEST 158 200
true false WEST SOUTH 158 200
true false SOUTH WEST 158 200
true false WEST SOUTH 158 200
true false SOUTH WEST 158 200
true false WEST NORTH 158 200
true false NORTH NORTH 158 200
true false NORTH NORTH 158 200
true false NORTH WEST 158 200
true false WEST EAST 158 200
true false EAST SOUTH 158 200
true false SOUTH SOUTH 158 200
true false SOUTH SOUTH 158 200
true false SOUTH EAST 158 200
true false EAST WEST 158 200
true false WEST NORTH 158 200
true false NORTH SOUTH 158 200
true false SOUTH SOUTH 158 200
true false SOUTH SOUTH 158 200
true false SOUTH EAST 158 200
true false EAST EAST 158 200
true false EAST SOUTH 157 210
true false SOUTH WEST 157 210
true false WEST SOUTH 157 210
true false SOUTH SOUTH 156 220
true false SOUTH NORTH 155 230
true false NORTH SOUTH 155 230
true false SOUTH SOUTH 155 230
true false SOUTH WEST 154 240
true false WEST SOUTH 154 240
true false SOUTH WEST 153 250
true false WEST EAST 152 260
true false EAST WEST 152 260
true false WEST WEST 152 260
true false WEST SOUTH 151 270
true false SOUTH EAST 151 270
true false EAST WEST 151 270
true false WEST EAST 151 270
true false EAST EAST 151 270
true false EAST SOUTH 151 270
true false SOUTH EAST 151 270
true false EAST NORTH 151 270
true false NORTH NORTH 151 270
true false NORTH WEST 151 270
true false WEST WEST 151 270
true false WEST EAST 151 270
true false EAST NORTH 150 280
true false NORTH WEST 150 280
true false WEST NORTH 150 280
true false NORTH EAST 150 280
true false EAST EAST 150 280
true false EAST EAST 150 280
true false EAST WEST 150 280
true false WEST NORTH 150 280
true false NORTH WEST 150 280
true false WEST EAST 150 280
true false EAST EAST 150 280
true false EAST EAST 150 280
